X,Y,LS
537805.5,177769.5,1
537825.5,177744.5,1
539165.5,177684.5,1
544195.5,177684.5,1
544410.5,177544.5,1
544395.5,177504.5,1
544445.5,177479.5,1
536680.5,177184.5,1
558530.5,177164.5,1
558670.5,177164.5,1
557945.5,177144.5,1
536715.5,177129.5,1
536725.5,177114.5,1
544490.5,177034.5,1
536170.5,176979.5,1
557995.5,176964.5,1
535930.5,176949.5,1
536045.5,176924.5,1
536430.5,176924.5,1
536610.5,176909.5,1
536640.5,176909.5,1
536030.5,176899.5,1
536420.5,176874.5,1
535835.5,176839.5,1
535880.5,176839.5,1
535950.5,176834.5,1
535980.5,176834.5,1
535855.5,176809.5,1
558135.5,176809.5,1
536540.5,176804.5,1
535855.5,176774.5,1
535775.5,176759.5,1
535645.5,176754.5,1
535900.5,176754.5,1
535535.5,176749.5,1
535615.5,176749.5,1
535855.5,176729.5,1
535565.5,176724.5,1
536710.5,176724.5,1
535475.5,176694.5,1
535500.5,176684.5,1
535410.5,176659.5,1
535440.5,176649.5,1
535900.5,176649.5,1
535560.5,176644.5,1
535460.5,176634.5,1
535395.5,176594.5,1
535845.5,176589.5,1
535390.5,176584.5,1
535425.5,176579.5,1
535480.5,176579.5,1
535380.5,176549.5,1
535445.5,176479.5,1
535385.5,176459.5,1
535440.5,176454.5,1
535290.5,176424.5,1
522010.5,176359.5,1
535390.5,176359.5,1
535395.5,176354.5,1
535320.5,176349.5,1
535260.5,176339.5,1
535300.5,176279.5,1
535405.5,176269.5,1
535355.5,176259.5,1
521300.5,176254.5,1
521275.5,176084.5,1
521285.5,176049.5,1
521260.5,175879.5,1
546700.5,175869.5,1
521395.5,175839.5,1
530125.5,175824.5,1
521255.5,175764.5,1
521935.5,175724.5,1
521265.5,175714.5,1
519855.5,175649.5,1
530400.5,175509.5,1
534970.5,175509.5,1
530195.5,175464.5,1
534985.5,175454.5,1
530205.5,175444.5,1
534690.5,175424.5,1
534725.5,175384.5,1
534735.5,175294.5,1
534750.5,175279.5,1
534995.5,175194.5,1
544340.5,175024.5,1
520895.5,175019.5,1
520790.5,174979.5,1
544075.5,174969.5,1
520820.5,174914.5,1
543780.5,174899.5,1
520775.5,174889.5,1
543765.5,174864.5,1
520945.5,174814.5,1
544085.5,174814.5,1
518180.5,174789.5,1
542365.5,174734.5,1
519515.5,174724.5,1
529255.5,174719.5,1
517940.5,174699.5,1
519535.5,174679.5,1
519610.5,174659.5,1
518750.5,174639.5,1
518750.5,174629.5,1
519065.5,174609.5,1
519070.5,174609.5,1
519515.5,174609.5,1
519625.5,174609.5,1
519645.5,174609.5,1
519465.5,174604.5,1
519575.5,174584.5,1
543645.5,174584.5,1
519550.5,174574.5,1
519455.5,174569.5,1
519400.5,174564.5,1
519100.5,174554.5,1
543660.5,174554.5,1
519550.5,174544.5,1
519540.5,174534.5,1
528620.5,174534.5,1
519520.5,174494.5,1
519565.5,174484.5,1
530805.5,174459.5,1
519090.5,174454.5,1
530780.5,174444.5,1
517625.5,174419.5,1
519330.5,174409.5,1
517555.5,174374.5,1
517500.5,174359.5,1
517510.5,174324.5,1
554625.5,174264.5,1
518105.5,174244.5,1
516970.5,174234.5,1
518100.5,174234.5,1
518685.5,174194.5,1
518695.5,174194.5,1
518730.5,174194.5,1
518705.5,174159.5,1
553810.5,174134.5,1
517050.5,174019.5,1
517015.5,173994.5,1
518350.5,173994.5,1
518290.5,173989.5,1
518115.5,173929.5,1
517055.5,173914.5,1
518145.5,173914.5,1
516835.5,173899.5,1
518035.5,173879.5,1
516735.5,173869.5,1
553915.5,173784.5,1
554095.5,173779.5,1
517815.5,173729.5,1
517740.5,173719.5,1
545750.5,173719.5,1
545760.5,173709.5,1
554065.5,173684.5,1
517400.5,173649.5,1
517600.5,173649.5,1
545775.5,173619.5,1
539525.5,173609.5,1
551275.5,173604.5,1
551195.5,173549.5,1
553980.5,173504.5,1
554000.5,173474.5,1
553990.5,173469.5,1
553910.5,173459.5,1
553630.5,173454.5,1
517005.5,173414.5,1
553630.5,173409.5,1
517005.5,173399.5,1
517035.5,173269.5,1
553385.5,173234.5,1
537780.5,173129.5,1
552475.5,173109.5,1
553390.5,173004.5,1
552170.5,172969.5,1
516385.5,172959.5,1
551995.5,172939.5,1
552000.5,172929.5,1
